Summary,Description,Assignee,Priority,Due Date,Labels,Control ID,Section,Frameworks,Domain,Evidence (Min),RICE,WSJF,Next Review
[NCA ECC v2.0] NCA ECC: Operations & Technology,"Implement and periodically test controls under NCA ECC v2.0 – 'Operations & Technology'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: nan. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Operations & Technology' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - nan,Medium,2025-12-24,NCA ECC v2.0;Change Management;nan,NCA-ECC::Operations_&_Technology,NCA ECC: Operations & Technology,NCA ECC v2.0,Change Management,Policy/Standard; Configuration/Capture; Report/Review,30.0,10.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,nan;Operations Security,UNMAPPED,Unmapped,nan,Operations Security,Record/Log,63.0,9.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: nan. Priority: nan. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: nan. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - nan,Medium,2025-12-24,nan,UNMAPPED,Unmapped,nan,nan,Record/Log,27.0,9.0,2026-05-08
[NCA ECC v2.0] PDPL: Retention & Deletion,"Establish and maintain controls for 'Retention & Deletion' in alignment with the KSA PDPL and its regulations. Maintain evidence of compliance (policies, procedures, data subject handling logs), designate accountable ownership, and schedule periodic reviews. Ensure privacy notices, rights handling (SAR/erasure/rectification), and incident notification meet PDPL timelines. Minimum evidence: [Policy/Standard; Procedure/Playbook; Record/Log]. Owner: Legal/Compliance. Priority: nan. Next review: 2026-05-08.

إنشاء وضبط ضوابط 'Retention & Deletion' بما يتوافق مع نظام حماية البيانات الشخصية ولائحته التنفيذية في المملكة. الاحتفاظ بأدلة الامتثال (سياسات، إجراءات، سجلات تعامل مع حقوق الأفراد)، وتحديد المالك المسؤول، وتحديد جداول مراجعة دورية. التأكد من إشعارات الخصوصية ومعالجة حقوق الأفراد وإشعارات الحوادث ضمن المدد النظامية. الحد الأدنى للأدلة: [Policy/Standard; Procedure/Playbook; Record/Log]. المالك: Legal/Compliance. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - Legal/Compliance,Medium,2025-12-24,NCA ECC v2.0;PDPL (KSA);Compliance;Record/Log,PDPL::Retention_&_Deletion,PDPL: Retention & Deletion,NCA ECC v2.0; PDPL (KSA),Compliance,Policy/Standard; Procedure/Playbook; Record/Log,50.4,11.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Access Control,"Implement and periodically test controls under NCA ECC v2.0 – 'Access Control'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: nan. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Access Control' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - nan,Medium,2025-12-24,NCA ECC v2.0;SAMA CSF;Access Control;nan,NCA-ECC::Access_Control,NCA ECC: Access Control,NCA ECC v2.0; SAMA CSF,Access Control,Policy/Standard; Configuration/Capture; Report/Review,64.8,11.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Access Control,"Implement and periodically test controls under NCA ECC v2.0 – 'Access Control'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: nan. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Access Control' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - nan,Medium,2025-12-24,NCA ECC v2.0;SAMA CSF;Access Control;nan,NCA-ECC::Access_Control,NCA ECC: Access Control,NCA ECC v2.0; SAMA CSF,Access Control,Policy/Standard; Configuration/Capture; Report/Review,27.0,5.5,2026-05-08
[NCA ECC v2.0] NCA ECC: Access Control,"Implement and periodically test controls under NCA ECC v2.0 – 'Access Control'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: nan. Next review: 2025-12-09.

تطبيق واختبار ضوابط 'Access Control' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: nan. المراجعة القادمة: 2025-12-09.",Team - nan,Medium,2025-12-09,NCA ECC v2.0;SAMA CSF;Access Control;Report/Review,NCA-ECC::Access_Control,NCA ECC: Access Control,NCA ECC v2.0; SAMA CSF,Access Control,Policy/Standard; Configuration/Capture; Report/Review,64.8,12.0,2025-12-09
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: nan. Priority: nan. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: nan. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - nan,Medium,2025-12-24,nan,UNMAPPED,Unmapped,nan,nan,Record/Log,22.5,9.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: nan. Priority: nan. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: nan. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - nan,Medium,2025-12-24,nan,UNMAPPED,Unmapped,nan,nan,Record/Log,22.5,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Logging & Monitoring,"Implement and periodically test controls under NCA ECC v2.0 – 'Logging & Monitoring'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: nan. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Logging & Monitoring' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - nan,Medium,2025-12-24,NCA ECC v2.0;Compliance;Record/Log,NCA-ECC::Logging_&_Monitoring,NCA ECC: Logging & Monitoring,NCA ECC v2.0,Compliance,Policy/Standard; Configuration/Capture; Report/Review,36.0,9.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,nan,UNMAPPED,Unmapped,nan,nan,Record/Log,52.5,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Access Control,"Implement and periodically test controls under NCA ECC v2.0 – 'Access Control'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Access Control' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,NCA ECC v2.0;Access Control;nan,NCA-ECC::Access_Control,NCA ECC: Access Control,NCA ECC v2.0,Access Control,Policy/Standard; Configuration/Capture; Report/Review,94.5,11.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,nan,UNMAPPED,Unmapped,nan,nan,Record/Log,52.5,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Audit & Assurance,"Implement and periodically test controls under NCA ECC v2.0 – 'Audit & Assurance'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Audit & Assurance' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,NCA ECC v2.0;Audit & Assurance;nan,NCA-ECC::Audit_&_Assurance,NCA ECC: Audit & Assurance,NCA ECC v2.0,Audit & Assurance,Policy/Standard; Configuration/Capture; Report/Review,52.5,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Audit & Assurance,"Implement and periodically test controls under NCA ECC v2.0 – 'Audit & Assurance'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Audit & Assurance' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,NCA ECC v2.0;Operations Security;nan,NCA-ECC::Audit_&_Assurance,NCA ECC: Audit & Assurance,NCA ECC v2.0,Operations Security,Policy/Standard; Configuration/Capture; Report/Review,52.5,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Awareness & HR Security,"Implement and periodically test controls under NCA ECC v2.0 – 'Awareness & HR Security'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Awareness & HR Security' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,NCA ECC v2.0;Compliance;nan,NCA-ECC::Awareness_&_HR_Security,NCA ECC: Awareness & HR Security,NCA ECC v2.0,Compliance,Policy/Standard; Configuration/Capture; Report/Review,52.5,9.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,nan,UNMAPPED,Unmapped,nan,nan,Record/Log,52.5,9.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: Legal/Compliance. Priority: Critical. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: Legal/Compliance. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - Legal/Compliance,Highest,2025-11-16,nan;Compliance,UNMAPPED,Unmapped,nan,Compliance,Record/Log,52.5,9.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,nan;Compliance,UNMAPPED,Unmapped,nan,Compliance,Record/Log,52.5,9.0,2026-05-08
[NCA ECC v2.0] PDPL: Security of Personal Data,"Establish and maintain controls for 'Security of Personal Data' in alignment with the KSA PDPL and its regulations. Maintain evidence of compliance (policies, procedures, data subject handling logs), designate accountable ownership, and schedule periodic reviews. Ensure privacy notices, rights handling (SAR/erasure/rectification), and incident notification meet PDPL timelines. Minimum evidence: [Policy/Standard; Procedure/Playbook; Record/Log]. Owner: Legal/Compliance. Priority: Critical. Next review: 2026-05-08.

إنشاء وضبط ضوابط 'Security of Personal Data' بما يتوافق مع نظام حماية البيانات الشخصية ولائحته التنفيذية في المملكة. الاحتفاظ بأدلة الامتثال (سياسات، إجراءات، سجلات تعامل مع حقوق الأفراد)، وتحديد المالك المسؤول، وتحديد جداول مراجعة دورية. التأكد من إشعارات الخصوصية ومعالجة حقوق الأفراد وإشعارات الحوادث ضمن المدد النظامية. الحد الأدنى للأدلة: [Policy/Standard; Procedure/Playbook; Record/Log]. المالك: Legal/Compliance. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - Legal/Compliance,Highest,2025-11-16,NCA ECC v2.0;PDPL (KSA);SAMA CSF;Compliance;nan,PDPL::Security_of_Personal_Data,PDPL: Security of Personal Data,NCA ECC v2.0; PDPL (KSA); SAMA CSF,Compliance,Policy/Standard; Procedure/Playbook; Record/Log,115.5,11.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Governance,"Implement and periodically test controls under NCA ECC v2.0 – 'Governance'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: Legal/Compliance. Priority: Critical. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Governance' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: Legal/Compliance. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - Legal/Compliance,Highest,2025-11-16,NCA ECC v2.0;Compliance;Policy/Standard,NCA-ECC::Governance,NCA ECC: Governance,NCA ECC v2.0,Compliance,Policy/Standard; Configuration/Capture; Report/Review,63.0,9.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,nan;Compliance,UNMAPPED,Unmapped,nan,Compliance,Record/Log,52.5,9.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: Legal/Compliance. Priority: Critical. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: Legal/Compliance. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - Legal/Compliance,Highest,2025-11-16,nan;Compliance,UNMAPPED,Unmapped,nan,Compliance,Record/Log,52.5,9.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: Legal/Compliance. Priority: Critical. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: Legal/Compliance. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - Legal/Compliance,Highest,2025-11-16,nan;Compliance,UNMAPPED,Unmapped,nan,Compliance,Record/Log,52.5,9.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,nan,UNMAPPED,Unmapped,nan,nan,Record/Log,52.5,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Governance,"Implement and periodically test controls under NCA ECC v2.0 – 'Governance'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Governance' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,NCA ECC v2.0;Compliance;Policy/Standard,NCA-ECC::Governance,NCA ECC: Governance,NCA ECC v2.0,Compliance,Policy/Standard; Configuration/Capture; Report/Review,63.0,9.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,nan,UNMAPPED,Unmapped,nan,nan,Record/Log,52.5,9.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: Legal/Compliance. Priority: Critical. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: Legal/Compliance. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - Legal/Compliance,Highest,2025-11-16,nan;Compliance,UNMAPPED,Unmapped,nan,Compliance,Record/Log,52.5,9.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,nan,UNMAPPED,Unmapped,nan,nan,Record/Log,52.5,9.0,2026-05-08
